edgeID,hour,vehicles
59068,FIVEAM,94
59068,SIXAM,255
59068,SEVENAM,687
59068,EIGHTAM,1131
59068,NINEAM,734
59068,TENAM,634
59068,ELEVENAM,636
59068,NOON,616
59068,ONEPM,593
59068,TWOPM,628
59068,THREEPM,836
59068,FOURPM,901
59068,FIVEPM,1018
59068,SIXPM,765
59068,SEVENPM,493
59068,EIGHTPM,307
59068,NINEPM,202
59068,TENPM,147
59068,ELEVENPM,76
52723,MIDNIGHT,11
52723,ONEAM,4
52723,TWOAM,3
52723,THREEAM,3
52723,FOURAM,13
52723,FIVEAM,67
52723,SIXAM,183
52723,SEVENAM,494
52723,EIGHTAM,812
52723,NINEAM,527
52723,TENAM,456
52723,ELEVENAM,457
52723,NOON,443
52723,ONEPM,426
52723,TWOPM,451
52723,THREEPM,601
52723,FOURPM,648
52723,FIVEPM,732
52723,SIXPM,550
52723,SEVENPM,354
52723,EIGHTPM,220
52723,NINEPM,145
52723,TENPM,105
52723,ELEVENPM,55
69415,MIDNIGHT,43
69415,ONEAM,17
69415,TWOAM,14
69415,THREEAM,14
69415,FOURAM,48
69415,FIVEAM,249
69415,SIXAM,676
69415,SEVENAM,1823
69415,EIGHTAM,2998
69415,NINEAM,1946
69415,TENAM,1682
69415,ELEVENAM,1688
69415,NOON,1634
69415,ONEPM,1573
69415,TWOPM,1665
69415,THREEPM,2218
69415,FOURPM,2390
69415,FIVEPM,2700
69415,SIXPM,2029
69415,SEVENPM,1307
69415,EIGHTPM,814
69415,NINEPM,536
69415,TENPM,389
69415,ELEVENPM,203
67729,MIDNIGHT,24
67729,ONEAM,9
67729,TWOAM,8
67729,THREEAM,8
67729,FOURAM,27
67729,FIVEAM,140
67729,SIXAM,380
67729,SEVENAM,1025
67729,EIGHTAM,1686
67729,NINEAM,1094
67729,TENAM,946
67729,ELEVENAM,949
67729,NOON,918
67729,ONEPM,884
67729,TWOPM,936
67729,THREEPM,1247
67729,FOURPM,1344
67729,FIVEPM,1518
67729,SIXPM,1141
67729,SEVENPM,735
67729,EIGHTPM,457
67729,NINEPM,301
67729,TENPM,219
67729,ELEVENPM,114
78867,MIDNIGHT,57
78867,ONEAM,23
78867,TWOAM,19
78867,THREEAM,19
78867,FOURAM,65
78867,FIVEAM,333
78867,SIXAM,905
78867,SEVENAM,2441
78867,EIGHTAM,4015
78867,NINEAM,2606
78867,TENAM,2253
78867,ELEVENAM,2260
78867,NOON,2188
78867,ONEPM,2107
78867,TWOPM,2230
78867,THREEPM,2971
78867,FOURPM,3201
78867,FIVEPM,3616
78867,SIXPM,2717
78867,SEVENPM,1750
78867,EIGHTPM,1090
78867,NINEPM,717
78867,TENPM,522
78867,ELEVENPM,272
63440,MIDNIGHT,19
63440,ONEAM,7
63440,TWOAM,6
63440,THREEAM,6
63440,FOURAM,21
63440,FIVEAM,111
63440,SIXAM,302
63440,SEVENAM,813
63440,EIGHTAM,1338
63440,NINEAM,868
63440,TENAM,751
63440,ELEVENAM,753
63440,NOON,729
63440,ONEPM,702
63440,TWOPM,743
63440,THREEPM,990
63440,FOURPM,1067
63440,FIVEPM,1205
63440,SIXPM,906
63440,SEVENPM,583
63440,EIGHTPM,363
63440,NINEPM,239
63440,TENPM,174
